year,sim,b,r,g,r_av,s,c,label,rg,slope,curvature,interest_share
3,7,1.023307572,0.009911441,0.020538759,0.009971272,-0.048614336,0,irresponsible,-0.010627318,0.03318731,-0.003301258,0.009820622
4,7,1.051266223,0.020407055,0.015559782,0.012058429,-0.031486716,0,irresponsible,0.004847273,0.022251269,-0.003887485,0.012339481
5,7,1.06781011,0.020060327,0.025066178,0.013658808,-0.028242823,0,irresponsible,-0.005005851,0.02541234,0.003420686,0.014359044
6,7,1.102090903,0.033870456,0.019139178,0.017701138,-0.035787509,0,irresponsible,0.014731278,0.029092641,-0.002963046,0.018901454
7,7,1.125995392,0.035139085,0.03111283,0.021188727,-0.034511732,0,irresponsible,0.004026255,0.019486248,-0.000172885,0.023351904
8,7,1.141063399,0.030725505,0.023703279,0.023096083,-0.015735876,0,irresponsible,0.007022225,0.028746872,0.006991079,0.026006083
9,7,1.183489136,0.034386649,0.019454832,0.025354196,-0.035822651,0,irresponsible,0.014931817,0.033468406,-0.002117899,0.028930745
10,7,1.208000211,0.047377179,0.020783804,0.029758793,-0.014105539,0,irresponsible,0.026593375,0.024511074,-0.008957331,0.035219208
1,8,0.9656,0.01,0.020202273,0.01,-0.032260523,0,irresponsible,-0.010202273,0.012800109,0.007828135,0.009656
2,8,0.978400109,0.008002897,0.014257912,0.009600579,-0.017234011,0,irresponsible,-0.006255016,0.020628244,0.012357075,0.009270319
3,8,1.006856487,0.011286407,0.024686072,0.009937745,-0.042538511,0,irresponsible,-0.013399665,0.037514259,0.012165109,0.009723091
4,8,1.053428626,0.014528229,0.006217947,0.010855842,-0.041931301,0,irresponsible,0.008310283,0.044958462,0.000999758,0.010930275
5,8,1.096773412,0.019826294,0.010917029,0.012649932,-0.04153901,0,irresponsible,0.008909265,0.039513774,-0.002938712,0.013325801
6,8,1.132456174,0.027389629,0.012083407,0.015597872,-0.031874211,0,irresponsible,0.015306223,0.039081038,-0.003986812,0.017107331
7,8,1.174935489,0.030560203,0.014355821,0.018590338,-0.037751778,0,irresponsible,0.016204382,0.031540151,-0.005001754,0.021052743
8,8,1.195536477,0.032464817,0.023472257,0.021365234,-0.023019828,0,irresponsible,0.008992561,0.029077531,0.009716583,0.025102771
9,8,1.233090551,0.0218048,0.008008419,0.021453147,-0.021608114,0,irresponsible,0.013796381,0.050973316,0.017657514,0.02564802
10,8,1.297483109,0.0284361,0.006130735,0.022849738,-0.043902136,0,irresponsible,0.022305364,0.064392558,0.013419242,0.028175795
1,9,0.9656,0.01,0.02320417,0.01,-0.028343705,0,irresponsible,-0.01320417,0.052527833,-0.012652231,0.009656
2,9,1.018127833,0.015417889,0.0146063,0.011083578,-0.055880404,0,irresponsible,0.000811589,0.039875601,-0.014874802,0.010702303
3,9,1.045351203,0.028183789,0.023525682,0.01450362,-0.036197852,0,irresponsible,0.004658107,0.022778228,-0.006990017,0.014766539
4,9,1.063684288,0.037727154,0.010012636,0.019148327,-0.008877753,0,irresponsible,0.027714518,0.025895568,0.008520638,0.020016726
5,9,1.097142338,0.042064191,0.012315743,0.0237315,-0.021463016,0,irresponsible,0.029748448,0.039819503,0.011142282,0.025242823
6,9,1.143323295,0.036100312,0.019850287,0.026205262,-0.039344353,0,irresponsible,0.016250025,0.048180131,0.00659603,0.028750903
7,9,1.1935026,0.037286137,0.020853877,0.028421437,-0.041703884,0,irresponsible,0.01643226,0.053011563,0.004555132,0.032494891
8,9,1.249346421,0.042449395,0.019533562,0.031227029,-0.042155028,0,irresponsible,0.022915834,0.057290395,0.005585651,0.03726954
9,9,1.30808339,0.046680297,0.024738324,0.034317682,-0.04705795,0,irresponsible,0.021941973,0.064182865,0.006169183,0.042874674
10,9,1.37771215,0.0474315,0.015817661,0.036940446,-0.042428639,0,irresponsible,0.031613839,0.069628761,0.005445896,0.048321184
1,10,0.9656,0.01,0.020558029,0.01,-0.041561958,0,irresponsible,-0.010558029,0.042280838,-0.019793339,0.009656
2,10,1.007880838,0.012001341,0.016726136,0.010400268,-0.04828861,0,irresponsible,-0.004724796,0.022487499,-0.012253177,0.010042499
3,10,1.010574997,0.027130527,0.025759102,0.01374632,-0.014497567,0,irresponsible,0.001371425,0.017774485,0.008361635,0.013854652
4,10,1.043429808,0.023340338,0.009945495,0.015665124,-0.027131616,0,irresponsible,0.013394844,0.039210769,0.011477166,0.015830782
5,10,1.088996535,0.024045113,0.020428012,0.017341122,-0.048723201,0,irresponsible,0.003617101,0.040728816,0.0031789,0.018094243
6,10,1.12488744,0.025978589,0.008826569,0.019068615,-0.024834938,0,irresponsible,0.017152021,0.045568569,0.003844743,0.020765656
7,10,1.180133672,0.025363262,0.005750861,0.020327545,-0.038942862,0,irresponsible,0.019612401,0.048418302,-0.00218497,0.0228662
8,10,1.221724044,0.034598078,0.023459703,0.023181651,-0.041910989,0,irresponsible,0.011138374,0.041198628,0.000570539,0.027357447
9,10,1.262530927,0.036608776,0.018256194,0.025867076,-0.031675195,0,irresponsible,0.018352583,0.049559381,0.008556625,0.031602429
10,10,1.320842805,0.037799942,0.010226164,0.028253649,-0.035782014,0,irresponsible,0.027573779,0.058311878,0.008752497,0.035671106
1,11,0.9656,0.01,0.013597011,0.01,-0.048994354,0,irresponsible,-0.003597011,0.034376838,-0.002640308,0.009656
