date,r (cbo baseline),g (cbo baseline),gdp (cbo baseline),year,s (cbo baseline),b (cbo baseline),"b (tbl senate, as written)","b (tbl senate, permanent)","s (tbl senate, as written)","s (tbl senate, permanent)",r (moody's S1),r (moody's S2),r (moody's S3),g (moody's S1),g (moody's S2),g (moody's S3)
2030-04-01,1.8659999999999999,1.913,35855.705685094035,,,,,,,,,,,,,
2030-07-01,1.8619999999999999,1.8019999999999998,36190.5555664503,,,,,,,,,,,,,
2030-10-01,1.8579999999999999,1.852,36532.95550369658,,,,,,,,,,,,,
2031-01-01,1.8550000000000002,1.8579999999999999,36879.08144255094,2031.0,-2.15866307491024,111.11420258654621,-118.1,-118.9,-2.8,-3.1,,,,,,
2031-04-01,1.853,1.8659999999999999,37229.59258714517,,,,,,,,,,,,,
2031-07-01,1.8499999999999999,1.8749999999999998,37583.86037162328,,,,,,,,,,,,,
2031-10-01,1.8439999999999999,1.8810000000000002,37941.130329058324,,,,,,,,,,,,,
2032-01-01,1.843,1.883,38303.41121907694,2032.0,-2.1824860916919357,113.04203575839034,-120.6,-121.7,-2.7,-3.0,,,,,,
2032-04-01,1.839,1.88,38668.17664823313,,,,,,,,,,,,,
2032-07-01,1.836,1.8800000000000001,39036.56276657287,,,,,,,,,,,,,
2032-10-01,1.8319999999999999,1.8769999999999998,39407.88893137629,,,,,,,,,,,,,
2033-01-01,1.8279999999999998,1.8479999999999999,39780.57102517845,2033.0,-2.533262411460591,115.25015842747715,-122.8,-124.3,-2.6,-2.9,,,,,,
2033-04-01,1.824,1.864,40158.34420009216,,,,,,,,,,,,,
2033-07-01,1.8210000000000002,1.8559999999999999,40539.65016864068,,,,,,,,,,,,,
2033-10-01,1.822,1.847,40924.823752046825,,,,,,,,,,,,,
2034-01-01,1.8170000000000002,1.834,41309.95803427854,2034.0,-2.1348493111398437,117.0682606970611,-125.1,-126.9,-2.6,-3.0,,,,,,
2034-04-01,1.8109999999999997,1.821,41697.63405857495,,,,,,,,,,,,,
2034-07-01,1.805,1.812,42088.3624704625,,,,,,,,,,,,,
2034-10-01,1.7979999999999998,1.801,42481.41974703402,,,,,,,,,,,,,
2035-01-01,1.792,1.7950000000000002,42877.929208745954,2035.0,-1.704262297887803,118.47980657898738,-127.5,-129.5,-2.6,-2.9,,,,,,
2035-04-01,1.7839999999999998,1.7889999999999997,43277.15190556029,,,,,,,,,,,,,
2035-07-01,1.7769999999999997,1.7809999999999997,43679.63839946662,,,,,,,,,,,,,
2035-10-01,1.77,1.77,44084.437995136876,,,,,,,,,,,,,
2036-01-01,,,,,,,-129.8,-132.2,-2.6,-2.9,,,,,,
2037-01-01,,,,,,,-132.1,-134.8,-2.5,-2.8,,,,,,
2038-01-01,,,,,,,-134.5,-137.4,-2.5,-2.8,,,,,,
2039-01-01,,,,,,,-136.8,-140.0,-2.5,-2.8,,,,,,
2040-01-01,,,,,,,-139.0,-142.5,-2.4,-2.7,,,,,,
2041-01-01,,,,,,,-141.3,-145.1,-2.4,-2.7,,,,,,
2042-01-01,,,,,,,-143.7,-147.8,-2.5,-2.7,,,,,,
2043-01-01,,,,,,,-146.2,-150.5,-2.5,-2.7,,,,,,
2044-01-01,,,,,,,-148.7,-153.2,-2.5,-2.7,,,,,,
2045-01-01,,,,,,,-151.2,-156.0,-2.5,-2.7,,,,,,
2046-01-01,,,,,,,-153.7,-158.8,-2.5,-2.7,,,,,,
2047-01-01,,,,,,,-156.4,-161.6,-2.5,-2.7,,,,,,
2048-01-01,,,,,,,-159.0,-164.5,-2.5,-2.7,,,,,,
2049-01-01,,,,,,,-161.7,-167.5,-2.5,-2.8,,,,,,
2050-01-01,,,,,,,-164.5,-170.5,-2.5,-2.8,,,,,,
2051-01-01,,,,,,,-167.3,-173.6,-2.6,-2.8,,,,,,
2052-01-01,,,,,,,-170.2,-176.7,-2.6,-2.8,,,,,,
2053-01-01,,,,,,,-173.2,-179.8,-2.6,-2.8,,,,,,
2054-01-01,,,,,,,-176.1,-183.0,-2.6,-2.8,,,,,,
2055-01-01,,,,,,,-179.1,-186.2,-2.6,-2.8,,,,,,
