DATE,ACMY01,ACMY02,ACMY03,ACMY04,ACMY05,ACMY06,ACMY07,ACMY08,ACMY09,ACMY10,ACMTP01,ACMTP02,ACMTP03,ACMTP04,ACMTP05,ACMTP06,ACMTP07,ACMTP08,ACMTP09,ACMTP10,ACMRNY01,ACMRNY02,ACMRNY03,ACMRNY04,ACMRNY05,ACMRNY06,ACMRNY07,ACMRNY08,ACMRNY09,ACMRNY10
29-May-1992,4.311260143,5.130738692,5.790885794,6.289543109,6.665514611,6.954802453,7.183188216,7.367783247,7.519738451,7.646372915,0.655078042,1.289560169,1.815932525,2.223970536,2.539368482,2.788942001,2.992327939,3.162458033,3.307573714,3.432926518,3.6561821,3.841178523,3.974953269,4.065572573,4.126146129,4.165860452,4.190860277,4.205325214,4.212164737,4.213446397
30-Jun-1992,4.144973184,4.844126859,5.449174151,5.94759003,6.356363013,6.694806507,6.978418581,7.218600285,7.42359096,7.599395974,0.767466468,1.413354456,1.931888138,2.349249253,2.690909209,2.976364307,3.219100538,3.428209111,3.609879875,3.768443873,3.377506717,3.430772402,3.517286013,3.598340776,3.665453804,3.7184422,3.759318044,3.790391173,3.813711085,3.830952101
31-Jul-1992,3.719143032,4.413088348,5.014238455,5.510820831,5.919300444,6.258392431,6.543168067,6.784763881,6.991265793,7.168594139,0.720049003,1.333275423,1.827392385,2.225634061,2.551645587,2.823757277,3.054741147,3.253257086,3.425231463,3.574829564,2.999094028,3.079812926,3.18684607,3.28518677,3.367654857,3.434635153,3.48842692,3.531506795,3.56603433,3.593764575
31-Aug-1992,3.550331543,4.197105041,4.776603835,5.284590431,5.726149333,6.109075562,6.441261856,6.729773026,6.98062639,7.198842269,0.848868414,1.492312896,1.988272874,2.397164137,2.745619061,3.047238209,3.310264031,3.540418779,3.742034093,3.918555445,2.701463129,2.704792144,2.788330961,2.887426293,2.980530273,3.061837354,3.130997825,3.189354247,3.238592297,3.280286824
30-Sep-1992,3.209294658,3.856875032,4.44031163,4.96172059,5.423197063,5.828949558,6.184428169,6.49532668,6.767002463,7.004231713,0.888823445,1.538156866,2.029258477,2.436959051,2.789078437,3.097347133,3.368211332,3.606227664,3.815095284,3.997974338,2.320471213,2.318718166,2.411053153,2.524761539,2.634118626,2.731602426,2.816216837,2.889099015,2.95190718,3.006257375
30-Oct-1992,3.694843248,4.442053559,5.097476857,5.624464269,6.043050414,6.379375084,6.654298971,6.88265852,7.074709042,7.237572885,0.649361493,1.277427945,1.805979589,2.22659612,2.560576052,2.830691875,3.05405216,3.242287088,3.403110062,3.541679732,3.045481756,3.164625613,3.291497268,3.397868149,3.482474362,3.548683208,3.600246811,3.640371432,3.67159898,3.695893153
30-Nov-1992,3.983127126,4.819932417,5.487410732,5.986829569,6.360128399,6.645193907,6.868838297,7.04870546,7.196203562,7.318761,0.604992151,1.217811927,1.72797194,2.120696155,2.421108776,2.656245729,2.845989268,3.003406239,3.136777317,3.251333047,3.378134976,3.602120491,3.759438793,3.866133414,3.939019623,3.988948178,4.022849029,4.045299221,4.059426245,4.067427953
30-Dec-1992,3.699505935,4.489539037,5.183139907,5.714597712,6.111755701,6.412156709,6.644923451,6.829860504,6.979911014,7.103500376,0.470722986,1.069999138,1.608959763,2.029024155,2.346450701,2.589566833,2.781154899,2.936662038,3.065978439,3.175346345,3.22878295,3.419539899,3.574180144,3.685573556,3.765304999,3.822589876,3.863768551,3.893198466,3.913932574,3.928154031
29-Jan-1993,3.511526508,4.177311534,4.776124804,5.266874721,5.662939576,5.985386073,6.251770573,6.474889649,6.663758118,6.824741948,0.582457994,1.149214221,1.630897962,2.018828068,2.330388059,2.584760941,2.796576179,2.975907087,3.129522213,3.262010826,2.929068514,3.028097312,3.145226842,3.248046653,3.332551517,3.400625132,3.455194394,3.498982562,3.534235905,3.562731121
26-Feb-1993,3.359415978,3.909588256,4.448571687,4.913263273,5.302193394,5.627524783,5.901756353,6.134894646,6.334449664,6.505999137,0.533786169,1.052232711,1.501715306,1.873301265,2.179089559,2.433652278,2.648597335,2.832231996,2.990363425,3.127094052,2.825629809,2.857355545,2.946856381,3.039962007,3.123103835,3.193872505,3.253159018,3.30266265,3.344086238,3.378905085
31-Mar-1993,3.39356275,3.947383489,4.48190755,4.943057895,5.330622144,5.656248658,5.931765952,6.166689077,6.368221345,6.541764292,0.558100038,1.080599803,1.526869732,1.895761637,2.200752223,2.456026949,2.672592273,2.858298273,3.018662582,3.157620316,2.835462712,2.866783686,2.955037817,3.047296257,3.129869921,3.200221709,3.259173679,3.308390804,3.349558763,3.384143976
29-Apr-1993,3.278597729,3.777155711,4.311105419,4.786395384,5.190387047,5.53120458,5.819938312,6.066176974,6.277388876,6.459248397,0.507006844,1.022441977,1.48306521,1.869218492,2.18903473,2.455951541,2.681420378,2.873896029,3.039406924,3.182275538,2.771590884,2.754713735,2.828040209,2.917176891,3.001352317,3.075253039,3.138517933,3.192280945,3.237981952,3.276972859
28-May-1993,3.624479388,4.194853071,4.669748277,5.06534507,5.397734128,5.679772495,5.921134301,6.129005451,6.308758316,6.464469275,0.605422527,1.091977377,1.472318232,1.782620919,2.043322008,2.266629014,2.460269333,2.629401074,2.777638149,2.90762524,3.019056861,3.102875693,3.197430045,3.282724151,3.35441212,3.413143481,3.460864968,3.499604378,3.531120167,3.556844035
30-Jun-1993,3.538584079,4.01578376,4.423167141,4.77325787,5.075432079,5.337208908,5.564696662,5.762828552,5.935571612,6.086119014,0.533120527,0.953221771,1.282167968,1.556295783,1.79202902,1.9977846,2.178632705,2.338038619,2.478570749,2.602229373,3.005463552,3.062561989,3.140999173,3.216962087,3.283403059,3.339424307,3.386063957,3.424789933,3.457000864,3.483889641
30-Jul-1993,3.585220078,4.106322619,4.53354934,4.882264044,5.17014598,5.411259813,5.61578461,5.790918966,5.941781715,6.072080193,0.480541091,0.891617994,1.221260864,1.489931531,1.713704525,1.903796354,2.067702959,2.210415645,2.335317747,2.4447718,3.104678987,3.214704625,3.312288476,3.392332513,3.456441456,3.507463459,3.548081651,3.580503322,3.606463968,3.627308393
31-Aug-1993,3.434394001,3.837933068,4.202832935,4.522474618,4.800014283,5.040863971,5.250285491,5.432748234,5.591880586,5.730591794,0.422823375,0.780766674,1.075144444,1.324788407,1.540217859,1.728055769,1.892828735,2.037793155,2.165378688,2.277453227,3.011570626,3.057166395,3.127688492,3.197686211,3.259796424,3.312808202,3.357456756,3.39495508,3.426501899,3.453138567
30-Sep-1993,3.434925661,3.881067932,4.243996531,4.548442769,4.80816707,5.031990117,5.226120944,5.395148594,5.542559396,5.671054627,0.43558216,0.786008741,1.060384879,1.288778157,1.485240539,1.656981966,1.808272526,1.941951036,2.060058064,2.164138565,2.999343501,3.095059191,3.183611651,3.259664611,3.322926531,3.375008151,3.417848417,3.453197559,3.482501332,3.506916062
29-Oct-1993,3.526308313,3.957316383,4.310573548,4.607520583,4.860889177,5.079171158,5.268441433,5.433204226,5.576873629,5.702084486,0.424401951,0.768658261,1.04044574,1.267319231,1.462577848,1.63327972,1.78369077,1.916662528,2.034237132,2.137949489,3.101906362,3.188658122,3.270127808,3.340201353,3.398311329,3.445891437,3.484750663,3.516541698,3.542636497,3.564134996
30-Nov-1993,3.656071316,4.168343371,4.57911645,4.912530163,5.187900044,5.419066752,5.615658394,5.784381638,5.929983552,6.055902402,0.478990861,0.878715722,1.194905128,1.45242975,1.667863016,1.851876592,2.011349848,2.150798716,2.273274275,2.380911884,3.177080456,3.28962765,3.384211322,3.460100414,3.520037028,3.56719016,3.604308547,3.633582922,3.656709277,3.674990518
31-Dec-1993,3.670232235,4.199431924,4.607634523,4.935743198,5.207004426,5.435647949,5.630917992,5.799101043,5.944635053,6.070756351,0.508032151,0.911257163,1.220294551,1.470627811,1.681138859,1.862303613,2.020370212,2.159318859,2.281833443,2.389816466,3.162200084,3.288174761,3.387339972,3.465115387,3.525865567,3.573344336,3.61054778,3.639782184,3.66280161,3.680939884
31-Jan-1994,3.553815635,4.059560963,4.448688185,4.762188656,5.022338637,5.242417116,5.430958334,5.593755661,5.734908444,5.857417418,0.469772181,0.844815729,1.13259783,1.366688996,1.564453345,1.735292485,1.884750678,2.016354707,2.132491665,2.234863229,3.084043455,3.214745234,3.316090355,3.395499661,3.457885292,3.507124631,3.546207656,3.577400955,3.602416779,3.622554188
28-Feb-1994,4.084776562,4.641430277,5.042793572,5.356071748,5.61218954,5.827334997,6.011002561,6.169275489,6.306312541,6.425096959,0.574701633,0.998780582,1.310095402,1.559004782,1.768743307,1.950583584,2.110607016,2.252457875,2.378521437,2.490472761,3.510074929,3.642649695,3.73269817,3.797066966,3.843446233,3.876751413,3.900395544,3.916817613,3.927791104,3.934624198
31-Mar-1994,4.522715286,5.196717118,5.663930779,6.004632776,6.264484437,6.470349815,6.63832954,6.77830293,6.896507127,6.997008086,0.62660114,1.108258558,1.468315149,1.746513775,1.970175613,2.156514902,2.316035009,2.455124991,2.577725426,2.686330098,3.896114147,4.08845856,4.19561563,4.258119001,4.294308824,4.313834912,4.322294531,4.323177939,4.318781701,4.310677988
29-Apr-1994,5.011353311,5.71742954,6.129344474,6.405514217,6.610394505,6.772744647,6.906657696,7.019688508,7.116221764,7.198979784,0.719387485,1.190753706,1.498671707,1.728062711,1.915829734,2.077974032,2.221911863,2.351375709,2.468405827,2.574209596,4.291965825,4.526675834,4.630672767,4.677451506,4.694564771,4.694770615,4.684745833,4.668312799,4.647815937,4.624770188
31-May-1994,5.306152125,5.961538674,6.31328486,6.545763582,6.723666257,6.870929159,6.997293779,7.107306142,7.20344908,7.287286549,0.762924095,1.221406336,1.496674447,1.701951839,1.877476706,2.036222061,2.182258604,2.316901633,2.440658715,2.553822095,4.54322803,4.740132338,4.816610413,4.843811743,4.846189551,4.834707098,4.815035175,4.790404509,4.762790366,4.733464454
30-Jun-1994,5.449540189,6.104192642,6.469983697,6.720180008,6.914736305,7.076432105,7.215016085,7.335336105,7.440202278,7.531461766,0.819019805,1.296249436,1.595703863,1.823942787,2.019241896,2.194632202,2.354703483,2.501286209,2.635302198,2.757360423,4.630520383,4.807943206,4.874279835,4.896237221,4.895494409,4.881799903,4.860312603,4.834049896,4.80490008,4.774101342
29-Jul-1994,5.363789437,5.934803851,6.261703923,6.488775422,6.666760923,6.815273813,6.942859024,7.053817585,7.150646164,7.234973086,0.706918071,1.134129722,1.410112332,1.623752205,1.807455753,1.972546759,2.123182225,2.261099367,2.387191742,2.502036808,4.656871366,4.800674129,4.851591591,4.865023217,4.85930517,4.842727054,4.819676799,4.792718218,4.763454421,4.732936278
31-Aug-1994,5.482771214,6.050232727,6.369193042,6.584985023,6.750757214,6.887385474,7.003961605,7.104969202,7.192914024,7.269356542,0.675626767,1.101678369,1.374226126,1.582762853,1.760845387,1.92048855,2.066187524,2.199808031,2.322259592,2.434080213,4.807144447,4.948554358,4.994966915,5.00222217,4.989911827,4.966896925,4.937774081,4.905161171,4.870654432,4.83527633
30-Sep-1994,5.902115334,6.512499791,6.843462388,7.057063247,7.214545788,7.340617628,7.446175616,7.536532493,7.614546561,7.681896844,0.724765573,1.184509667,1.475020744,1.693181263,1.876795866,2.040116106,2.18876994,2.325172012,2.450477217,2.565313753,5.177349761,5.327990124,5.368441644,5.363881984,5.337749923,5.300501522,5.257405676,5.211360481,5.164069344,5.116583092
31-Oct-1994,6.101566755,6.72020287,7.04998342,7.258231168,7.408351664,7.526371577,7.62393342,7.706727553,7.777774633,7.838798325,0.745820573,1.206592154,1.499555484,1.719110872,1.90292717,2.065756096,2.213672451,2.34936965,2.474145747,2.588685934,5.355746182,5.513610716,5.550427936,5.539120296,5.505424494,5.460615481,5.410260969,5.357357903,5.303628886,5.250112391
30-Nov-1994,6.774740439,7.31713066,7.523097098,7.619548829,7.679175216,7.725494142,7.765902604,7.802476462,7.835549509,7.864913895,0.761622671,1.140025943,1.341048176,1.486674787,1.616518355,1.74103442,1.861868213,1.978383313,2.089577051,2.194571924,6.013117769,6.177104717,6.182048923,6.132874042,6.062656861,5.984459721,5.90403439,5.824093149,5.745972458,5.670341971
30-Dec-1994,7.206327872,7.569247565,7.678014383,7.717714112,7.739578727,7.758101203,7.776701204,7.795506387,7.813766607,7.830594889,0.706794772,0.986403525,1.147798041,1.277477428,1.400092712,1.52076994,1.639290931,1.754348533,1.864672686,1.969254365,6.499533099,6.58284404,6.530216343,6.440236684,6.339486015,6.237331263,6.137410273,6.041157854,5.949093921,5.861340524
31-Jan-1995,6.766799037,7.161778985,7.319915811,7.396002307,7.442509576,7.477609712,7.507561079,7.534354471,7.558412868,7.57958484,0.567785342,0.887376944,1.079465352,1.226172776,1.356123358,1.478147214,1.594542801,1.705556097,1.810840808,1.909929583,6.199013695,6.274402042,6.240450458,6.16982953,6.086386218,5.999462498,5.913018279,5.828798374,5.74757206,5.669655256
28-Feb-1995,6.370598995,6.684271528,6.827366483,6.918142032,6.991979713,7.058673464,7.12043573,7.177398119,7.229227849,7.275568317,0.533604014,0.842183656,1.035055306,1.191575056,1.335922074,1.473676631,1.605263001,1.730008199,1.847213702,1.956368009,5.836994981,5.842087872,5.792311177,5.726566976,5.656057639,5.584996832,5.515172729,5.447389919,5.382014148,5.319200308
31-Mar-1995,6.401141866,6.699099748,6.835657581,6.922726159,6.99377089,7.058052449,7.117649693,7.172662675,7.222745868,7.267529259,0.517781665,0.819753468,1.011229642,1.167555927,1.311744959,1.449177233,1.580319818,1.704572158,1.821289082,1.929990088,5.883360201,5.87934628,5.82442794,5.755170232,5.682025931,5.608875216,5.537329875,5.468090517,5.401456786,5.337539171
28-Apr-1995,6.242510279,6.500324109,6.630526901,6.719298076,6.79312518,6.859643198,6.920767904,6.976761597,7.027460062,7.072629735,0.44834492,0.730094052,0.919390931,1.076712981,1.221075461,1.35734838,1.486320916,1.607785329,1.721393395,1.826860487,5.794165359,5.770230056,5.711135969,5.642585095,5.572049719,5.502294817,5.434446988,5.368976268,5.306066667,5.245769247
