T0,r_on_g,r_on_s,g_on_r,g_on_s,s_on_r,s_on_g
1984-01-01,0.2728055952416645,0.4643691563565427,0.15509423187436983,0.19649349911382544,0.9309245333721583,0.6860379668047193
1985-01-01,0.213147534715323,0.4601579066306294,0.10492231651227055,0.1881966598584328,0.9501239311978114,0.7820571818341314
1986-01-01,0.1706164758572002,0.455013762414568,0.0863195202610943,0.18569388788250724,0.9850998268983289,0.7877691855571136
1987-01-01,0.14255997430285347,0.44883163422792294,0.07668780257914577,0.18442541225781475,1.0376002164795148,0.7862805783659099
1988-01-01,0.11960599877289813,0.44084746044124695,0.06672436025067616,0.18229758463160423,1.0569950087895852,0.7778096834973703
1989-01-01,0.09048190095117362,0.4360706287110533,0.05022330472305127,0.17681807251402348,1.0595687269881073,0.7689307884877442
1990-01-01,0.06844563700818865,0.4312131719355938,0.03826174861005906,0.17286264101904206,1.0591296909598353,0.7550218269164573
1991-01-01,0.08150688550782755,0.4260295524071135,0.04656443030832497,0.1761325152724848,1.066257961520792,0.7674183004770398
1992-01-01,0.14854857328499743,0.421367827295598,0.081079038245153,0.18464754861461347,1.0783376850537356,0.8613169204196537
1993-01-01,0.12258825832878258,0.4153329498026313,0.06928640177849175,0.18267938530493935,1.1065354984176166,0.8573538667647108
1994-01-01,0.1182839220548669,0.40980553074620574,0.06884363615518689,0.18305046073464715,1.11754760076908,0.8544420333733476
1995-01-01,0.08385184259477149,0.4028228368750636,0.049289023365321524,0.17757819289724827,1.1230025851738938,0.8397127360695917
1996-01-01,0.07867127709051124,0.39093893562456916,0.04894877582897687,0.1798423246899856,1.1314619120187905,0.8346978389023376
1997-01-01,0.03338238735732526,0.37449837492281984,0.022067683349693158,0.17439768885344445,1.1373599628534796,0.8002321724903553
1998-01-01,-0.0472126760635837,0.35342553996043413,-0.03290063600019283,0.16078058594526684,1.1293699337249028,0.7373051879438839
1999-01-01,-0.15859542867019402,0.3190637373520947,-0.12349262825172051,0.14329170954315135,1.1198058246565434,0.6468684362360685
2000-01-01,-0.3023783409536251,0.2823472654692072,-0.25750392094690655,0.11567614542484289,1.0742804017460266,0.5185679202841847
2001-01-01,-0.4096634593488907,0.2451238357250749,-0.3870233749416735,0.09066506546094816,0.9555162569718314,0.3758672036801691
2002-01-01,-0.3597033334348333,0.20277760821789317,-0.39054503149749753,0.12765359009486765,0.8276996676909188,0.4815697937014775
2003-01-01,-0.339725355774935,0.1721866819955076,-0.4190225052200496,0.14191576210919327,0.7618307950542054,0.5100511665095119
2004-01-01,-0.3547743005624765,0.16089232887430466,-0.4566429221638655,0.13933269073244314,0.7326759786681244,0.4935793915144052
2005-01-01,-0.390120753026749,0.15667894066688665,-0.4872167519460254,0.12645242680293217,0.7082157734622478,0.4586998695030977
2006-01-01,-0.41660929333768526,0.15404448779623836,-0.5088691520753127,0.11224950468798282,0.6741298079562401,0.40348058404481885
2007-01-01,-0.4372262810933082,0.1383658791108187,-0.550630506854374,0.1058223386487872,0.587201771769126,0.35751455418515654
2008-01-01,-0.43710551568832007,0.10635524091631814,-0.5927526272411305,0.11775187086953415,0.43475932907541504,0.35474625499754125
2009-01-01,-0.3856670620801333,0.06608887908100254,-0.5619044210396572,0.1621659636291921,0.2918368391920052,0.48707636620500266
2010-01-01,-0.36318863510933763,0.10132155966961194,-0.36303644684631203,0.09454052458655389,0.4802956969015167,0.4392852476928068
2011-01-01,-0.37217340957390366,,-0.38759291919308114,,,
